StreamStats Output Report,,,
,,,
State/Region ID,NC,,
Latitude,35.31255,,
Longitude,-82.46516,,
Time,1/30/2026, 1:32:58 PM,
NHD Stream GNIS ID,NA,,
NHD Stream GNIS Name,NA,,
,,,
,,,
Basin Characteristics,,,
Parameter Code,Parameter Description,Value,Unit
"USGS Data Disclaimer: Unless otherwise stated, all data, metadata and related materials are considered to satisfy the quality standards relative to the purpose for which the data were collected. Although these data and associated metadata have been reviewed for accuracy and completeness and approved for release by the U.S. Geological Survey (USGS), no warranty expressed or implied is made regarding the display or utility of the data for other purposes, nor on all computer systems, nor shall the act of distribution constitute any such warranty.",,,
"USGS Software Disclaimer: This software has been approved for release by the U.S. Geological Survey (USGS). Although the software has been subjected to rigorous review, the USGS reserves the right to update the software as needed pursuant to further analysis and review. No warranty, expressed or implied, is made by the USGS or the U.S. Government as to the functionality of the software and related material nor shall the fact of release constitute any such warranty. Furthermore, the software is released on condition that neither the USGS nor the U.S. Government shall be held liable for any damages resulting from its authorized or unauthorized use.",,,
"USGS Product Names Disclaimer: Any use of trade, firm, or product names is for descriptive purposes only and does not imply endorsement by the U.S. Government.",,,
,,,
Application Version: 4.30.0,,,
SSHydro Services Version: 1.0.0,,,
SSDelineate Services Version: 1.0.1,,,
NSS Services Version: 2.2.1,,,
GageStats Services Version: 1.2.1,,,
Pourpoint Services Version: 1.2.0,,,
Batch Processor Services Version: 1.6.0,,,
